pregunta,respuesta,texts
¿Puedo presentar el examen de validación de un curso si no asistí al examen previo por asuntos de salud?,"Sí, si tienes una excusa válida, puedes presentar el examen de validación. Es importante recordar que debes presentar las pruebas según lo establecido en el Reglamento Estudiantil de Pregrado y que es necesario llevar los materiales específicos requeridos.","Pregunta: ¿Puedo presentar el examen de validación de un curso si no asistí al examen previo por asuntos de salud?
Respuesta: Sí, si tienes una excusa válida, puedes presentar el examen de validación. Es importante recordar que debes presentar las pruebas según lo establecido en el Reglamento Estudiantil de Pregrado y que es necesario llevar los materiales específicos requeridos."
¿Cómo puedo matricular materias siendo estudiante de otra facultad?,"Para matricular cursos opcionales, puede solicitarlo o preguntar por el proceso a partir del período establecido por la Facultad de Ingeniería. Es importante anexar los documentos requeridos para la solicitud.","Pregunta: ¿Cómo puedo matricular materias siendo estudiante de otra facultad?
Respuesta: Para matricular cursos opcionales, puede solicitarlo o preguntar por el proceso a partir del período establecido por la Facultad de Ingeniería. Es importante anexar los documentos requeridos para la solicitud."
¿Cuál es el conducto regular para solicitar soporte técnico con Microsoft Office?,"Puedes contactar con la Facultad de Ingeniería a través de su correo electrónico para obtener soporte técnico con Microsoft Office.

Pregunta: ¿Qué inconveniente tienes con Microsoft Office?","Pregunta: ¿Cuál es el conducto regular para solicitar soporte técnico con Microsoft Office?
Respuesta: Puedes contactar con la Facultad de Ingeniería a través de su correo electrónico para obtener soporte técnico con Microsoft Office.

Pregunta: ¿Qué inconveniente tienes con Microsoft Office?"
¿Cómo puedo verificar si se realizó un cambio de sede para presentar exámenes parciales?,"Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para verificar el estado de tu solicitud de cambio de sede.

Pregunta: Ninguna","Pregunta: ¿Cómo puedo verificar si se realizó un cambio de sede para presentar exámenes parciales?
Respuesta: Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para verificar el estado de tu solicitud de cambio de sede.

Pregunta: Ninguna"
¿Cómo puedo anular el reconocimiento de materias que me fue aprobado recientemente y qué documentación se requiere para este trámite?,"Para anular el reconocimiento de materias, debe dirigirse a la secretaría de su departamento, ubicada en Ciudad Universitaria, Bloque 21 oficina 431. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener más información específica sobre el proceso y la documentación requerida.

Pregunta: ¿Las notas de las materias reconocidas entran hacer parte del promedio del programa?","Pregunta: ¿Cómo puedo anular el reconocimiento de materias que me fue aprobado recientemente y qué documentación se requiere para este trámite?
Respuesta: Para anular el reconocimiento de materias, debe dirigirse a la secretaría de su departamento, ubicada en Ciudad Universitaria, Bloque 21 oficina 431. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener más información específica sobre el proceso y la documentación requerida.

Pregunta: ¿Las notas de las materias reconocidas entran hacer parte del promedio del programa?"
"¿Qué debo hacer si mi solicitud de cancelación de semestre fue aprobada, pero no veo cambios en mi situación académica?","Si has recibido un correo de aprobación de tu solicitud de cancelación de semestre, pero no ves cambios en tu situación académica, es posible que debas realizar un procedimiento adicional. Te recomendamos escribir a asuntosestudiantilesingenieria@udea.edu.co para que revisen tu caso específico.","Pregunta: ¿Qué debo hacer si mi solicitud de cancelación de semestre fue aprobada, pero no veo cambios en mi situación académica?
Respuesta: Si has recibido un correo de aprobación de tu solicitud de cancelación de semestre, pero no ves cambios en tu situación académica, es posible que debas realizar un procedimiento adicional. Te recomendamos escribir a asuntosestudiantilesingenieria@udea.edu.co para que revisen tu caso específico."
¿Puede un profesor pedir dos cámaras a los estudiantes durante una evaluación en línea?,"Sí, es posible que un profesor requiera dos cámaras durante una evaluación en línea, pero es importante tener en cuenta que la universidad puede tener políticas específicas al respecto. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener más información o para revisar tu caso específico.","Pregunta: ¿Puede un profesor pedir dos cámaras a los estudiantes durante una evaluación en línea?
Respuesta: Sí, es posible que un profesor requiera dos cámaras durante una evaluación en línea, pero es importante tener en cuenta que la universidad puede tener políticas específicas al respecto. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener más información o para revisar tu caso específico."
"¿Qué debo hacer si el formulario de liquidación de matrícula indica ""sin iniciar cargar"" en la sección de documentos?","Deberá terminar de realizar el proceso indicado para que le puedan generar la liquidación de matrícula. Si presenta dudas o inquietudes, se debe comunicar con el área encargada de liquidación pregrado del Departamento de Admisiones y Registro.","Pregunta: ¿Qué debo hacer si el formulario de liquidación de matrícula indica ""sin iniciar cargar"" en la sección de documentos?
Respuesta: Deberá terminar de realizar el proceso indicado para que le puedan generar la liquidación de matrícula. Si presenta dudas o inquietudes, se debe comunicar con el área encargada de liquidación pregrado del Departamento de Admisiones y Registro."
¿Cuál es el trámite que debo realizar para solicitar un reingreso a un programa académico?,"Para solicitar un reingreso a un programa académico, debes tener en cuenta lo establecido en el Reglamento Estudiantil de Pregrado y consultar la guía de admisión publicada por el Departamento de Admisiones y [NOMBRE], que se encuentra disponible en la página web de la Universidad.

Pregunta: ¿En qué fechas debes presentar la solicitud de reingreso para el semestre 2024-1?","Pregunta: ¿Cuál es el trámite que debo realizar para solicitar un reingreso a un programa académico?
Respuesta: Para solicitar un reingreso a un programa académico, debes tener en cuenta lo establecido en el Reglamento Estudiantil de Pregrado y consultar la guía de admisión publicada por el Departamento de Admisiones y [NOMBRE], que se encuentra disponible en la página web de la Universidad.

Pregunta: ¿En qué fechas debes presentar la solicitud de reingreso para el semestre 2024-1?"
¿Por qué no se me permite matricular materias en el portal después de cancelar el semestre académico?,"La Facultad de Ingeniería cuenta con 30 días hábiles para dar respuesta a las solicitudes de cancelación, de acuerdo con la ley 1437 de 2011 modificada por la ley 1755 de 2015. Durante este período, es posible que no se permita el reingreso inmediato al sistema para matricular materias.

Pregunta: ¿Por qué la cancelación de mi semestre académico aún no se refleja en el sistema?","Pregunta: ¿Por qué no se me permite matricular materias en el portal después de cancelar el semestre académico?
Respuesta: La Facultad de Ingeniería cuenta con 30 días hábiles para dar respuesta a las solicitudes de cancelación, de acuerdo con la ley 1437 de 2011 modificada por la ley 1755 de 2015. Durante este período, es posible que no se permita el reingreso inmediato al sistema para matricular materias.

Pregunta: ¿Por qué la cancelación de mi semestre académico aún no se refleja en el sistema?"
¿Qué puedo hacer si la matrícula no me deja inscribir materias?,"Si tienes problemas con la inscripción de materias, te recomendamos que contactes con la oficina de Asuntos Estudiantiles para que te ayuden a resolver el problema.","Pregunta: ¿Qué puedo hacer si la matrícula no me deja inscribir materias?
Respuesta: Si tienes problemas con la inscripción de materias, te recomendamos que contactes con la oficina de Asuntos Estudiantiles para que te ayuden a resolver el problema."
¿Cuál es el proceso para solicitar un parcial en el SSOFI y qué información se debe esperar a continuación?,"Si ha realizado una solicitud de parcial en el SSOFI, puede esperar a recibir un correo de confirmación con la fecha y hora de la evaluación, y un número de solicitud. Si no ha recibido esta información, puede contactar a la Oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para obtener más detalles.","Pregunta: ¿Cuál es el proceso para solicitar un parcial en el SSOFI y qué información se debe esperar a continuación?
Respuesta: Si ha realizado una solicitud de parcial en el SSOFI, puede esperar a recibir un correo de confirmación con la fecha y hora de la evaluación, y un número de solicitud. Si no ha recibido esta información, puede contactar a la Oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para obtener más detalles."
¿Cuántos días hábiles tarda la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería en responder a las solicitudes de cancelación de semestre?,Las solicitudes de cancelación de semestre tienen un aproximado de respuesta de 15 días hábiles.,"Pregunta: ¿Cuántos días hábiles tarda la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería en responder a las solicitudes de cancelación de semestre?
Respuesta: Las solicitudes de cancelación de semestre tienen un aproximado de respuesta de 15 días hábiles."
¿Cómo puedo revertir la cancelación de una materia en la página de la universidad si el computador se congeló y cancelé una materia indispensable?,"Si cancelaste una materia por error, puedes solicitar un ajuste extemporáneo a la matrícula del curso cancelado al Comité de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería.

Pregunta: ¿Cuáles son los canales de comunicación habilitados por el Comité de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería?","Pregunta: ¿Cómo puedo revertir la cancelación de una materia en la página de la universidad si el computador se congeló y cancelé una materia indispensable?
Respuesta: Si cancelaste una materia por error, puedes solicitar un ajuste extemporáneo a la matrícula del curso cancelado al Comité de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería.

Pregunta: ¿Cuáles son los canales de comunicación habilitados por el Comité de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería?"
¿Cómo se tramita la cancelación de un semestre académico en el programa de Ingeniería Industrial Virtual?,"La cancelación de un semestre académico se tramita de acuerdo con lo establecido en el artículo 74 del Reglamento Estudiantil, que indica que un estudiante puede obtener la cancelación reglamentaria de su matrícula si registra hasta el momento de solicitar la cancelación una nota aprobatoria o no se haya efectuado más del 40% de la evaluación del mismo. Por lo tanto, si un estudiante cumple con estos requisitos, puede solicitar la cancelación de su semestre académico y perderá automáticamente el cupo en la Universidad.","Pregunta: ¿Cómo se tramita la cancelación de un semestre académico en el programa de Ingeniería Industrial Virtual?
Respuesta: La cancelación de un semestre académico se tramita de acuerdo con lo establecido en el artículo 74 del Reglamento Estudiantil, que indica que un estudiante puede obtener la cancelación reglamentaria de su matrícula si registra hasta el momento de solicitar la cancelación una nota aprobatoria o no se haya efectuado más del 40% de la evaluación del mismo. Por lo tanto, si un estudiante cumple con estos requisitos, puede solicitar la cancelación de su semestre académico y perderá automáticamente el cupo en la Universidad."
¿Cómo puedo retomar una materia incompleta?,"Para retomar una materia incompleta, por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener la información necesaria.","Pregunta: ¿Cómo puedo retomar una materia incompleta?
Respuesta: Para retomar una materia incompleta, por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener la información necesaria."
"Cuando intento entrar al SSOFI, únicamente se reinicia la página y no me envía a ninguna dirección, qué hago.","Por favor, intenta reiniciar tu navegador o actualizar tu sesión para ver si resuelve el problema. Si persiste, es recomendable contactar con el equipo de soporte técnico para obtener ayuda adicional.","Pregunta: Cuando intento entrar al SSOFI, únicamente se reinicia la página y no me envía a ninguna dirección, qué hago.
Respuesta: Por favor, intenta reiniciar tu navegador o actualizar tu sesión para ver si resuelve el problema. Si persiste, es recomendable contactar con el equipo de soporte técnico para obtener ayuda adicional."
"¿Cómo puedo solicitar cupo en cursos del tronco común, socio humanísticos o cursos específicos del programa académico?","Para solicitar cupo en cursos del tronco común, socio humanísticos o cursos específicos del programa académico, debes escribir al correo electrónico correspondiente a cada tipo de curso o al Coordinador del Programa Académico.

Pregunta: ¿Cómo puedo evaluar el servicio prestado por la Oficina de Asuntos Estudiantiles de Pregrado?","Pregunta: ¿Cómo puedo solicitar cupo en cursos del tronco común, socio humanísticos o cursos específicos del programa académico?
Respuesta: Para solicitar cupo en cursos del tronco común, socio humanísticos o cursos específicos del programa académico, debes escribir al correo electrónico correspondiente a cada tipo de curso o al Coordinador del Programa Académico.

Pregunta: ¿Cómo puedo evaluar el servicio prestado por la Oficina de Asuntos Estudiantiles de Pregrado?"
¿Cómo puedo cancelar por garantías uno o varios cursos matriculados en el semestre académico?,"Puedes cancelar uno o varios cursos ingresando al Portal Universitario con tu usuario y clave, y siguiendo la ruta: Estudiantes > Vida académica > Así va el semestre académico > Cancelación de materias. Ten en cuenta que la cancelación se realizará de forma inmediata y desaparecerá de la constancia de matrícula al instante.

Pregunta: ¿Las cancelaciones de cursos realizadas en el semestre académico cuentan en mi historia académica?","Pregunta: ¿Cómo puedo cancelar por garantías uno o varios cursos matriculados en el semestre académico?
Respuesta: Puedes cancelar uno o varios cursos ingresando al Portal Universitario con tu usuario y clave, y siguiendo la ruta: Estudiantes > Vida académica > Así va el semestre académico > Cancelación de materias. Ten en cuenta que la cancelación se realizará de forma inmediata y desaparecerá de la constancia de matrícula al instante.

Pregunta: ¿Las cancelaciones de cursos realizadas en el semestre académico cuentan en mi historia académica?"
¿Qué debo hacer si no puedo matricularme en una materia debido a que no hay cupos disponibles y quedo con menos de 8 créditos?,"Si no puedes matricularte en una materia debido a que no hay cupos disponibles y quedas con menos de 8 créditos, debes comunicarte con la jefatura del departamento que administra tu programa para obtener orientación sobre la disponibilidad de cupos o sobre la posibilidad de realizar solicitud para matrícula de menos de 8 créditos.","Pregunta: ¿Qué debo hacer si no puedo matricularme en una materia debido a que no hay cupos disponibles y quedo con menos de 8 créditos?
Respuesta: Si no puedes matricularte en una materia debido a que no hay cupos disponibles y quedas con menos de 8 créditos, debes comunicarte con la jefatura del departamento que administra tu programa para obtener orientación sobre la disponibilidad de cupos o sobre la posibilidad de realizar solicitud para matrícula de menos de 8 créditos."
¿Las materias reconocidas u homologadas cuentan en el promedio del semestre o en el promedio acumulado en un pregrado?,"Las materias reconocidas u homologadas no cuentan en el promedio del semestre ni modifican el promedio acumulado, según el reglamento estudiantil de pregrado.","Pregunta: ¿Las materias reconocidas u homologadas cuentan en el promedio del semestre o en el promedio acumulado en un pregrado?
Respuesta: Las materias reconocidas u homologadas no cuentan en el promedio del semestre ni modifican el promedio acumulado, según el reglamento estudiantil de pregrado."
"¿Cómo puedo obtener información sobre los programas de multilingua, especialmente el idioma italiano?",Puedes comunicarte con el Programa Institucional de Formación en Lengua Extranjera (PIFLE) a través del correo electrónico proporcionado o visitar el enlace de información sobre Multingua UdeA.,"Pregunta: ¿Cómo puedo obtener información sobre los programas de multilingua, especialmente el idioma italiano?
Respuesta: Puedes comunicarte con el Programa Institucional de Formación en Lengua Extranjera (PIFLE) a través del correo electrónico proporcionado o visitar el enlace de información sobre Multingua UdeA."
"¿Cómo puedo cancelar un curso debido a problemas personales o económicos, y qué tipo de soporte puedo solicitar en SSOFI?","Puedes solicitar la cancelación de curso según lo establecido en los artículos 67 y 74 del Reglamento Estudiantil, presentando documentos que acrediten la situación de fuerza mayor o calamidad doméstica que te afectó. Es importante seguir los pasos indicados en el instructivo disponible en el enlace bit.ly/caepreing y tener en cuenta las condiciones establecidas en el Reglamento Estudiantil.","Pregunta: ¿Cómo puedo cancelar un curso debido a problemas personales o económicos, y qué tipo de soporte puedo solicitar en SSOFI?
Respuesta: Puedes solicitar la cancelación de curso según lo establecido en los artículos 67 y 74 del Reglamento Estudiantil, presentando documentos que acrediten la situación de fuerza mayor o calamidad doméstica que te afectó. Es importante seguir los pasos indicados en el instructivo disponible en el enlace bit.ly/caepreing y tener en cuenta las condiciones establecidas en el Reglamento Estudiantil."
¿Qué sucede con la solicitud de autorización de matrícula con menos de ocho (8) créditos y matrícula extemporánea en la Universidad de Antioquia?,"Si se aprueba la solicitud, se procesa el registro del curso correspondiente en el Sistema de Matrícula y Registro Sistematizado-MARES. Se advierte que esta notificación se considerará surtida de conformidad con lo establecido en la Ley 1437 de 2011.","Pregunta: ¿Qué sucede con la solicitud de autorización de matrícula con menos de ocho (8) créditos y matrícula extemporánea en la Universidad de Antioquia?
Respuesta: Si se aprueba la solicitud, se procesa el registro del curso correspondiente en el Sistema de Matrícula y Registro Sistematizado-MARES. Se advierte que esta notificación se considerará surtida de conformidad con lo establecido en la Ley 1437 de 2011."
¿Cómo puedo solicitar la exoneración de un pre-requisito para un curso?,Es necesario comunicarse con el responsable del departamento o programa correspondiente para solicitar la información necesaria.,"Pregunta: ¿Cómo puedo solicitar la exoneración de un pre-requisito para un curso?
Respuesta: Es necesario comunicarse con el responsable del departamento o programa correspondiente para solicitar la información necesaria."
¿Cómo puedo acceder a las clases en la plataforma de Ingenia si no puedo ingresar?,"Si tienes dificultades para ingresar a las clases o si un curso no aparece en la plataforma correspondiente, favor remitir la constancia de matrícula según corresponda la plataforma indicada para el respectivo curso. Puedes solicitar ayuda a Soporte UdeA por estos medios: correo electrónico, teléfono o web.","Pregunta: ¿Cómo puedo acceder a las clases en la plataforma de Ingenia si no puedo ingresar?
Respuesta: Si tienes dificultades para ingresar a las clases o si un curso no aparece en la plataforma correspondiente, favor remitir la constancia de matrícula según corresponda la plataforma indicada para el respectivo curso. Puedes solicitar ayuda a Soporte UdeA por estos medios: correo electrónico, teléfono o web."
¿Cómo puedo cancelar una materia en la que estoy matriculado?,"Puedes intentar cancelar la materia a través de la página oficial de la Universidad de Antioquia, si no te deja, puedes contactar con la Oficina de Asuntos Estudiantiles de Pregrado para obtener asistencia adicional.

Pregunta: ¿Cómo puedo realizar una solicitud al Comité de Asuntos Estudiantiles de Pregrado del Consejo de Facultad?","Pregunta: ¿Cómo puedo cancelar una materia en la que estoy matriculado?
Respuesta: Puedes intentar cancelar la materia a través de la página oficial de la Universidad de Antioquia, si no te deja, puedes contactar con la Oficina de Asuntos Estudiantiles de Pregrado para obtener asistencia adicional.

Pregunta: ¿Cómo puedo realizar una solicitud al Comité de Asuntos Estudiantiles de Pregrado del Consejo de Facultad?"
¿Es necesario realizar algún proceso de reingreso para continuar con las prácticas académicas después de terminar las materias de la carrera?,"Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu situación específica.

Pregunta: ¿Cómo puedo realizar una solicitud al Comité de Asuntos Estudiantiles de Pregrado del Consejo de Facultad?","Pregunta: ¿Es necesario realizar algún proceso de reingreso para continuar con las prácticas académicas después de terminar las materias de la carrera?
Respuesta: Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu situación específica.

Pregunta: ¿Cómo puedo realizar una solicitud al Comité de Asuntos Estudiantiles de Pregrado del Consejo de Facultad?"
¿Cómo puedo obtener información sobre los resultados del examen de validación de un curso obligatorio?,"Por favor, verifica en tu historia académica en el portal universitario, y en caso de requerir más información, puedes dirigirte a la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería.

Pregunta:","Pregunta: ¿Cómo puedo obtener información sobre los resultados del examen de validación de un curso obligatorio?
Respuesta: Por favor, verifica en tu historia académica en el portal universitario, y en caso de requerir más información, puedes dirigirte a la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería.

Pregunta:"
¿Cómo puedo cambiar de carrera dentro de la Facultad de Ingeniería de la Universidad de Antioquia?,"Para cambiar de carrera, te recomendamos que comuniques con la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para obtener orientación y asesoría sobre los procedimientos y requisitos necesarios.","Pregunta: ¿Cómo puedo cambiar de carrera dentro de la Facultad de Ingeniería de la Universidad de Antioquia?
Respuesta: Para cambiar de carrera, te recomendamos que comuniques con la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para obtener orientación y asesoría sobre los procedimientos y requisitos necesarios."
¿Qué alternativas tengo como estudiante de Ingeniería de Telecomunicaciones para modificar materias matriculadas si no puedo asistir a cursos de manera presencial debido a la situación económica en el hogar?,"Si no puedes asistir a cursos de manera presencial, puedes considerar la modalidad virtual. Puedes escribir a asuntosestudiantilesingenieria@udea.edu.co para solicitar la modificación de tus materias y discutir las opciones disponibles.

Pregunta: ¿Cómo puedo contactar con la Oficina de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería?","Pregunta: ¿Qué alternativas tengo como estudiante de Ingeniería de Telecomunicaciones para modificar materias matriculadas si no puedo asistir a cursos de manera presencial debido a la situación económica en el hogar?
Respuesta: Si no puedes asistir a cursos de manera presencial, puedes considerar la modalidad virtual. Puedes escribir a asuntosestudiantilesingenieria@udea.edu.co para solicitar la modificación de tus materias y discutir las opciones disponibles.

Pregunta: ¿Cómo puedo contactar con la Oficina de Asuntos Estudiantiles de Pregrado de la Facultad de Ingeniería?"
¿Cómo puedo recibir información sobre cursos semivirtuales y otros servicios de la Universidad de Antioquia si no llega a mi correo electrónico?,"Si no estás recibiendo información en tu correo electrónico, es posible que esté bloqueada o que haya algún problema con tu cuenta. Te recomendamos contactar con el servicio de bienestar o con el equipo de IT de la Universidad de Antioquia para que te ayuden a resolver el problema.","Pregunta: ¿Cómo puedo recibir información sobre cursos semivirtuales y otros servicios de la Universidad de Antioquia si no llega a mi correo electrónico?
Respuesta: Si no estás recibiendo información en tu correo electrónico, es posible que esté bloqueada o que haya algún problema con tu cuenta. Te recomendamos contactar con el servicio de bienestar o con el equipo de IT de la Universidad de Antioquia para que te ayuden a resolver el problema."
¿Cómo solicitar un cambio de papeles de matrícula?,"Puedes contactar a la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para solicitar el cambio de papeles de matrícula, te atenderán para resolver tu solicitud.","Pregunta: ¿Cómo solicitar un cambio de papeles de matrícula?
Respuesta: Puedes contactar a la oficina de Asuntos Estudiantiles de la Facultad de Ingeniería para solicitar el cambio de papeles de matrícula, te atenderán para resolver tu solicitud."
¿Cómo puedo reanudar mi carrera en la Facultad de Ingeniería de la Universidad de Antioquia?**,"Para reanudar tu carrera, debes tener en cuenta lo establecido en el Reglamento Estudiantil de Pregrado, específicamente el artículo 52, que establece que debes haber obtenido un rendimiento académico suficiente y no tener sanciones disciplinarias. Debes consultar la guía de admisión publicada por el Departamento de Admisiones y seguir los calendarios fijados por esta dependencia.

**Pregunta: ¿Cuál es el trámite que debo realizar para solicitar un reingreso a un programa académico?**","Pregunta: ¿Cómo puedo reanudar mi carrera en la Facultad de Ingeniería de la Universidad de Antioquia?**
Respuesta: Para reanudar tu carrera, debes tener en cuenta lo establecido en el Reglamento Estudiantil de Pregrado, específicamente el artículo 52, que establece que debes haber obtenido un rendimiento académico suficiente y no tener sanciones disciplinarias. Debes consultar la guía de admisión publicada por el Departamento de Admisiones y seguir los calendarios fijados por esta dependencia.

**Pregunta: ¿Cuál es el trámite que debo realizar para solicitar un reingreso a un programa académico?**"
¿Cómo puedo apelar a la decisión de la oficina de Asuntos Estudiantiles?,"Puedes presentar recurso de reposición ante esta Instancia, o de apelación ante el Comité de Asuntos Estudiantiles del Consejo Académico. 

Pregunta: ¿Cómo puedo obtener el resultado de mi solicitud de cancelación extemporánea del semestre y los motivos por los cuales fue rechazada?","Pregunta: ¿Cómo puedo apelar a la decisión de la oficina de Asuntos Estudiantiles?
Respuesta: Puedes presentar recurso de reposición ante esta Instancia, o de apelación ante el Comité de Asuntos Estudiantiles del Consejo Académico. 

Pregunta: ¿Cómo puedo obtener el resultado de mi solicitud de cancelación extemporánea del semestre y los motivos por los cuales fue rechazada?"
¿Dónde puedo conseguir el Formato de Cancelación de Semestre?,Puedes encontrar información sobre los formatos y procedimientos en la página web de la Facultad de Ingeniería o contactar con la oficina de Asuntos Estudiantiles.,"Pregunta: ¿Dónde puedo conseguir el Formato de Cancelación de Semestre?
Respuesta: Puedes encontrar información sobre los formatos y procedimientos en la página web de la Facultad de Ingeniería o contactar con la oficina de Asuntos Estudiantiles."
